,PointsTotal,DateParse,Squad,HA,P_color,rank,matchup,score_H,score_A,Points
1829,22,2018-01-02,Crystal Palace,A,#27409b ,14.0,Southampton vs. Crystal Palace,1,2,3
1830,40,2018-01-02,Tottenham,A,#fafafa ,5.0,Swansea City vs. Tottenham,0,2,3
1831,16,2018-01-02,West Bromwich Albion,A,#122f67,19.0,West Ham vs. West Bromwich Albion,2,1,0
1832,16,2018-01-02,Swansea City,H,#ffffff ,20.0,Swansea City vs. Tottenham,0,2,0
1833,20,2018-01-02,Southampton,H,#ed1a3b ,17.0,Southampton vs. Crystal Palace,1,2,0
1834,21,2018-01-02,West Ham,H,#7f0000 ,16.0,West Ham vs. West Bromwich Albion,2,1,3
1835,62,2018-01-02,Manchester City,H,#6caddf ,1.0,Manchester City vs. Watford,3,1,3
1836,46,2018-01-03,Chelsea,A,#034694 ,3.0,Arsenal vs. Chelsea,2,2,1
1837,39,2018-01-03,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Chelsea,2,2,1
1838,22,2018-01-04,West Ham,A,#7f0000 ,15.0,Tottenham vs. West Ham,1,1,1
1839,41,2018-01-04,Tottenham,H,#fafafa ,5.0,Tottenham vs. West Ham,1,1,1
1887,25,2018-01-13,West Ham,A,#7f0000 ,11.0,Huddersfield Town vs. West Ham,1,4,3
1890,23,2018-01-13,Brighton,A,#005daa ,15.0,West Bromwich Albion vs. Brighton,2,0,0
1892,44,2018-01-13,Tottenham,H,#fafafa ,5.0,Tottenham vs. Everton,4,0,3
1895,34,2018-01-13,Burnley,A,#800000 ,7.0,Crystal Palace vs. Burnley,1,0,0
1897,23,2018-01-13,Newcastle Utd,H,#fafafa ,14.0,Newcastle Utd vs. Swansea City,1,1,1
1906,24,2018-01-13,Huddersfield Town,H,#176fc0,13.0,Huddersfield Town vs. West Ham,1,4,0
1911,31,2018-01-13,Leicester City,A,#0053a0 ,8.0,Chelsea vs. Leicester City,0,0,1
1912,21,2018-01-13,Southampton,A,#ed1a3b ,16.0,Watford vs. Southampton,2,2,1
1918,17,2018-01-13,Swansea City,A,#ffffff ,20.0,Newcastle Utd vs. Swansea City,1,1,1
1919,26,2018-01-13,Watford,H,#fbee23 ,10.0,Watford vs. Southampton,2,2,1
1920,19,2018-01-13,West Bromwich Albion,H,#122f67,19.0,West Bromwich Albion vs. Brighton,2,0,3
1921,27,2018-01-13,Everton,A,#0d00e9 ,9.0,Tottenham vs. Everton,4,0,0
1923,25,2018-01-13,Crystal Palace,H,#27409b ,12.0,Crystal Palace vs. Burnley,1,0,3
1931,47,2018-01-13,Chelsea,H,#034694 ,3.0,Chelsea vs. Leicester City,0,0,1
1934,62,2018-01-14,Manchester City,A,#6caddf ,1.0,Liverpool vs. Manchester City,4,3,0
1942,24,2018-01-14,Bournemouth,H,#8b0304 ,13.0,Bournemouth vs. Arsenal,2,1,3
1949,39,2018-01-14,Arsenal,A,#ef0107 ,6.0,Bournemouth vs. Arsenal,2,1,0
1952,47,2018-01-14,Liverpool,H,#dd0000 ,3.0,Liverpool vs. Manchester City,4,3,3
1956,20,2018-01-15,Stoke City,A,#e03a3e,18.0,Manchester Utd vs. Stoke City,3,0,0
1957,50,2018-01-15,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Stoke City,3,0,3
1986,50,2018-01-20,Chelsea,A,#034694 ,3.0,Brighton vs. Chelsea,0,4,3
1989,34,2018-01-20,Burnley,H,#800000 ,8.0,Burnley vs. Manchester Utd,0,1,0
1991,23,2018-01-20,Brighton,H,#005daa ,16.0,Brighton vs. Chelsea,0,4,0
2004,24,2018-01-20,Huddersfield Town,A,#176fc0,14.0,Stoke City vs. Huddersfield Town,2,0,0
2007,28,2018-01-20,Everton,H,#0d00e9 ,9.0,Everton vs. West Bromwich Albion,1,1,1
2008,65,2018-01-20,Manchester City,H,#6caddf ,1.0,Manchester City vs. Newcastle Utd,3,1,3
2009,25,2018-01-20,Crystal Palace,A,#27409b ,13.0,Arsenal vs. Crystal Palace,4,1,0
2010,26,2018-01-20,West Ham,H,#7f0000 ,11.0,West Ham vs. Bournemouth,1,1,1
2012,23,2018-01-20,Stoke City,H,#e03a3e,17.0,Stoke City vs. Huddersfield Town,2,0,3
2013,26,2018-01-20,Watford,A,#fbee23 ,10.0,Leicester City vs. Watford,2,0,0
2014,23,2018-01-20,Newcastle Utd,A,#fafafa ,15.0,Manchester City vs. Newcastle Utd,3,1,0
2017,20,2018-01-20,West Bromwich Albion,A,#122f67,19.0,Everton vs. West Bromwich Albion,1,1,1
2019,25,2018-01-20,Bournemouth,A,#8b0304 ,12.0,West Ham vs. Bournemouth,1,1,1
2029,42,2018-01-20,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Crystal Palace,4,1,3
2030,53,2018-01-20,Manchester Utd,A,#b40509 ,2.0,Burnley vs. Manchester Utd,0,1,3
2031,34,2018-01-20,Leicester City,H,#0053a0 ,7.0,Leicester City vs. Watford,2,0,3
2039,45,2018-01-21,Tottenham,A,#fafafa ,5.0,Southampton vs. Tottenham,1,1,1
2044,22,2018-01-21,Southampton,H,#ed1a3b ,18.0,Southampton vs. Tottenham,1,1,1
2072,47,2018-01-22,Liverpool,A,#dd0000 ,4.0,Swansea City vs. Liverpool,1,0,0
2075,20,2018-01-22,Swansea City,H,#ffffff ,20.0,Swansea City vs. Liverpool,1,0,3
2158,26,2018-01-30,Crystal Palace,A,#27409b ,12.0,West Ham vs. Crystal Palace,1,1,1
2159,42,2018-01-30,Arsenal,A,#ef0107 ,6.0,Swansea City vs. Arsenal,3,1,0
2160,27,2018-01-30,West Ham,H,#7f0000 ,10.0,West Ham vs. Crystal Palace,1,1,1
2161,50,2018-01-30,Liverpool,A,#dd0000 ,4.0,Huddersfield Town vs. Liverpool,0,3,3
2162,24,2018-01-30,Huddersfield Town,H,#176fc0,14.0,Huddersfield Town vs. Liverpool,0,3,0
2163,23,2018-01-30,Swansea City,H,#ffffff ,17.0,Swansea City vs. Arsenal,3,1,3
2164,31,2018-01-31,Everton,H,#0d00e9 ,9.0,Everton vs. Leicester City,2,1,3
2165,24,2018-01-31,Brighton,A,#005daa ,15.0,Southampton vs. Brighton,1,1,1
2166,23,2018-01-31,Southampton,H,#ed1a3b ,18.0,Southampton vs. Brighton,1,1,1
2167,27,2018-01-31,Watford,A,#fbee23 ,11.0,Stoke City vs. Watford,0,0,1
2168,28,2018-01-31,Bournemouth,A,#8b0304 ,10.0,Chelsea vs. Bournemouth,0,3,3
2169,20,2018-01-31,West Bromwich Albion,A,#122f67,20.0,Manchester City vs. West Bromwich Albion,3,0,0
2170,35,2018-01-31,Burnley,A,#800000 ,7.0,Newcastle Utd vs. Burnley,1,1,1
2171,68,2018-01-31,Manchester City,H,#6caddf ,1.0,Manchester City vs. West Bromwich Albion,3,0,3
2172,24,2018-01-31,Stoke City,H,#e03a3e,16.0,Stoke City vs. Watford,0,0,1
2173,34,2018-01-31,Leicester City,A,#0053a0 ,8.0,Everton vs. Leicester City,2,1,0
2174,53,2018-01-31,Manchester Utd,A,#b40509 ,2.0,Tottenham vs. Manchester Utd,2,0,0
2175,50,2018-01-31,Chelsea,H,#034694 ,4.0,Chelsea vs. Bournemouth,0,3,0
2176,48,2018-01-31,Tottenham,H,#fafafa ,5.0,Tottenham vs. Manchester Utd,2,0,3
2177,24,2018-01-31,Newcastle Utd,H,#fafafa ,14.0,Newcastle Utd vs. Burnley,1,1,1
2184,27,2018-02-03,West Ham,A,#7f0000 ,12.0,Brighton vs. West Ham,3,1,0
2190,45,2018-02-03,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Everton,5,1,3
2194,56,2018-02-03,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Huddersfield Town,2,0,3
2196,69,2018-02-03,Manchester City,A,#6caddf ,1.0,Burnley vs. Manchester City,1,1,1
2200,24,2018-02-03,Stoke City,A,#e03a3e,18.0,Bournemouth vs. Stoke City,2,1,0
2206,24,2018-02-03,Swansea City,A,#ffffff ,17.0,Leicester City vs. Swansea City,1,1,1
2209,31,2018-02-03,Bournemouth,H,#8b0304 ,9.0,Bournemouth vs. Stoke City,2,1,3
2212,24,2018-02-03,Huddersfield Town,A,#176fc0,19.0,Manchester Utd vs. Huddersfield Town,2,0,0
2213,26,2018-02-03,Southampton,A,#ed1a3b ,14.0,West Bromwich Albion vs. Southampton,2,3,3
2215,27,2018-02-03,Brighton,H,#005daa ,13.0,Brighton vs. West Ham,3,1,3
2216,20,2018-02-03,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Southampton,2,3,0
2219,35,2018-02-03,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Swansea City,1,1,1
2224,31,2018-02-03,Everton,A,#0d00e9 ,10.0,Arsenal vs. Everton,5,1,0
2230,36,2018-02-03,Burnley,H,#800000 ,7.0,Burnley vs. Manchester City,1,1,1
2247,27,2018-02-04,Crystal Palace,H,#27409b ,14.0,Crystal Palace vs. Newcastle Utd,1,1,1
2249,49,2018-02-04,Tottenham,A,#fafafa ,5.0,Liverpool vs. Tottenham,2,2,1
2250,25,2018-02-04,Newcastle Utd,A,#fafafa ,16.0,Crystal Palace vs. Newcastle Utd,1,1,1
2260,51,2018-02-04,Liverpool,H,#dd0000 ,3.0,Liverpool vs. Tottenham,2,2,1
2270,30,2018-02-05,Watford,H,#fbee23 ,11.0,Watford vs. Chelsea,4,1,3
2273,50,2018-02-05,Chelsea,A,#034694 ,4.0,Watford vs. Chelsea,4,1,0
2282,35,2018-02-10,Leicester City,A,#0053a0 ,8.0,Manchester City vs. Leicester City,5,1,0
2284,30,2018-02-10,Watford,A,#fbee23 ,11.0,West Ham vs. Watford,2,0,0
2288,27,2018-02-10,Swansea City,H,#ffffff ,15.0,Swansea City vs. Burnley,1,0,3
2293,28,2018-02-10,Brighton,A,#005daa ,13.0,Stoke City vs. Brighton,1,1,1
2296,45,2018-02-10,Arsenal,A,#ef0107 ,6.0,Tottenham vs. Arsenal,1,0,0
2303,34,2018-02-10,Everton,H,#0d00e9 ,9.0,Everton vs. Crystal Palace,3,1,3
2315,72,2018-02-10,Manchester City,H,#6caddf ,1.0,Manchester City vs. Leicester City,5,1,3
2318,25,2018-02-10,Stoke City,H,#e03a3e,18.0,Stoke City vs. Brighton,1,1,1
2319,52,2018-02-10,Tottenham,H,#fafafa ,3.0,Tottenham vs. Arsenal,1,0,3
2320,30,2018-02-10,West Ham,H,#7f0000 ,12.0,West Ham vs. Watford,2,0,3
2325,36,2018-02-10,Burnley,A,#800000 ,7.0,Swansea City vs. Burnley,1,0,0
2326,27,2018-02-10,Crystal Palace,A,#27409b ,14.0,Everton vs. Crystal Palace,3,1,0
2336,27,2018-02-11,Huddersfield Town,H,#176fc0,17.0,Huddersfield Town vs. Bournemouth,4,1,3
2339,26,2018-02-11,Southampton,H,#ed1a3b ,18.0,Southampton vs. Liverpool,0,2,0
2342,28,2018-02-11,Newcastle Utd,H,#fafafa ,13.0,Newcastle Utd vs. Manchester Utd,1,0,3
2343,56,2018-02-11,Manchester Utd,A,#b40509 ,2.0,Newcastle Utd vs. Manchester Utd,1,0,0
2348,54,2018-02-11,Liverpool,A,#dd0000 ,3.0,Southampton vs. Liverpool,0,2,3
2352,31,2018-02-11,Bournemouth,A,#8b0304 ,10.0,Huddersfield Town vs. Bournemouth,4,1,0
2368,20,2018-02-12,West Bromwich Albion,A,#122f67,20.0,Chelsea vs. West Bromwich Albion,3,0,0
2371,53,2018-02-12,Chelsea,H,#034694 ,4.0,Chelsea vs. West Bromwich Albion,3,0,3
2462,57,2018-02-24,Liverpool,H,#dd0000 ,2.0,Liverpool vs. West Ham,4,1,3
2470,30,2018-02-24,West Ham,A,#7f0000 ,13.0,Liverpool vs. West Ham,4,1,0
2472,30,2018-02-24,Huddersfield Town,A,#176fc0,14.0,West Bromwich Albion vs. Huddersfield Town,1,2,3
2476,33,2018-02-24,Watford,H,#fbee23 ,10.0,Watford vs. Everton,1,0,3
2477,36,2018-02-24,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Stoke City,1,1,1
2480,37,2018-02-24,Burnley,H,#800000 ,7.0,Burnley vs. Southampton,1,1,1
2482,31,2018-02-24,Brighton,H,#005daa ,12.0,Brighton vs. Swansea City,4,1,3
2483,26,2018-02-24,Stoke City,A,#e03a3e,19.0,Leicester City vs. Stoke City,1,1,1
2487,29,2018-02-24,Newcastle Utd,A,#fafafa ,15.0,Bournemouth vs. Newcastle Utd,2,2,1
2490,32,2018-02-24,Bournemouth,H,#8b0304 ,11.0,Bournemouth vs. Newcastle Utd,2,2,1
2491,27,2018-02-24,Southampton,A,#ed1a3b ,16.0,Burnley vs. Southampton,1,1,1
2496,20,2018-02-24,West Bromwich Albion,H,#122f67,20.0,West Bromwich Albion vs. Huddersfield Town,1,2,0
2499,27,2018-02-24,Swansea City,A,#ffffff ,18.0,Brighton vs. Swansea City,4,1,0
2506,34,2018-02-24,Everton,A,#0d00e9 ,9.0,Watford vs. Everton,1,0,0
2515,55,2018-02-25,Tottenham,A,#fafafa ,4.0,Crystal Palace vs. Tottenham,0,1,3
2517,27,2018-02-25,Crystal Palace,H,#27409b ,17.0,Crystal Palace vs. Tottenham,0,1,0
2518,59,2018-02-25,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Chelsea,2,1,3
2525,53,2018-02-25,Chelsea,A,#034694 ,5.0,Manchester Utd vs. Chelsea,2,1,0
2563,45,2018-03-01,Arsenal,H,#ef0107 ,6.0,Arsenal vs. Manchester City,0,3,0
2567,75,2018-03-01,Manchester City,A,#6caddf ,1.0,Arsenal vs. Manchester City,0,3,3
2576,58,2018-03-03,Tottenham,H,#fafafa ,4.0,Tottenham vs. Huddersfield Town,2,0,3
2577,20,2018-03-03,West Bromwich Albion,A,#122f67,20.0,Watford vs. West Bromwich Albion,1,0,0
2584,33,2018-03-03,Bournemouth,A,#8b0304 ,11.0,Leicester City vs. Bournemouth,1,1,1
2589,28,2018-03-03,Southampton,H,#ed1a3b ,17.0,Southampton vs. Stoke City,0,0,1
2591,30,2018-03-03,Swansea City,H,#ffffff ,13.0,Swansea City vs. West Ham,4,1,3
2595,37,2018-03-03,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Bournemouth,1,1,1
2597,60,2018-03-03,Liverpool,H,#dd0000 ,2.0,Liverpool vs. Newcastle Utd,2,0,3
2600,27,2018-03-03,Stoke City,A,#e03a3e,19.0,Southampton vs. Stoke City,0,0,1
2602,34,2018-03-03,Everton,A,#0d00e9 ,10.0,Burnley vs. Everton,2,1,0
2606,36,2018-03-03,Watford,H,#fbee23 ,9.0,Watford vs. West Bromwich Albion,1,0,3
2607,40,2018-03-03,Burnley,H,#800000 ,7.0,Burnley vs. Everton,2,1,3
